fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	envios	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	ganancia	iteracion
20220928 235428	binary	custom	TRUE	TRUE	FALSE	-100	175	TRUE	388699	0.0417087828031449	0.376005050316175	6932	434	11179	0	0	9.24751008671073	3.83090747233072	23	25490000	132
20220928 235449	binary	custom	TRUE	TRUE	FALSE	-100	71	TRUE	388699	0.106725461123819	0.690046244500161	1109	902	10448	8	0	2.0719949628504	18.2378108285608	41	26230000	133
20220928 235512	binary	custom	TRUE	TRUE	FALSE	-100	97	TRUE	388699	0.107873141193968	0.271854106947422	1874	333	11257	2	0	5.50767847707705	7.43709376072551	68	25330000	134
20220928 235554	binary	custom	TRUE	TRUE	FALSE	-100	218	TRUE	388699	0.0557572767477492	0.267906703280552	5867	900	9399	-1	0	29.9374519378936	0.131762161076083	63	25690000	135
20220928 235612	binary	custom	TRUE	TRUE	FALSE	-100	56	TRUE	388699	0.117700461739353	0.760662983315788	2972	565	9539	5	0	11.834325896786	1.06629683704889	84	25650000	136
20220928 235645	binary	custom	TRUE	TRUE	FALSE	-100	173	TRUE	388699	0.0773929969675134	0.285328632939614	2106	997	8219	14	0	37.294222746254	45.8559168188714	19	26610000	137
20220928 235727	binary	custom	TRUE	TRUE	FALSE	-100	168	TRUE	388699	0.0799229747147151	0.268757902915808	134	974	8598	19	0	23.8996750350959	38.7503132535934	18	27130000	138
20220928 235820	binary	custom	TRUE	TRUE	FALSE	-100	319	TRUE	388699	0.0426579370397652	0.222583207253823	355	809	8177	18	0	30.3890853379015	22.8453198539177	24	26210000	139
20220928 235842	binary	custom	TRUE	TRUE	FALSE	-100	83	TRUE	388699	0.140156252120057	0.257312908239735	2012	928	7868	20	0	29.6926818936087	45.2072318526028	19	25550000	140
20220928 235904	binary	custom	TRUE	TRUE	FALSE	-100	79	TRUE	388699	0.117348748349849	0.237587054524662	7163	947	8873	7	0	0.0397871001222078	3.28348612338592	32	26180000	141
