fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	estimulos	ganancia	iteracion_bayesiana
20221030 172120	528	1278615	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	548	1	1	1	0.1	50	0.5	FALSE	388699	0.0322959535730239	0.515430826532883	7999	1378	0.0331646365182703	5410	13020000	60
20221030 172931	528	1278615	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1325	1	1	1	0.1	50	0.5	FALSE	388699	0.041185188528298	0.672383013638877	4535	17	0.0259793272643367	7556	11128000	61
20221030 173658	528	1278615	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	427	1	1	1	0.1	50	0.5	FALSE	388699	0.0625537944264019	0.651862616475206	7999	1987	0.0289052471076152	5705	12430000	62
20221030 174851	528	1278615	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	545	1	1	1	0.1	50	0.5	FALSE	388699	0.0357953978154228	0.594877605716745	7999	1109	0.0338689918629656	4883	12954000	63
20221030 180041	528	1278615	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	529	1	1	1	0.1	50	0.5	FALSE	388699	0.0520045612657049	0.585288694419421	7999	1615	0.0255135209405208	5315	12410000	64
20221030 181039	528	1278615	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	583	1	1	1	0.1	50	0.5	FALSE	388699	0.0307284670520323	0.616558205406461	8000	263	0.0278338629373028	6202	12156000	65
20221030 181424	528	1278615	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	306	1	1	1	0.1	50	0.5	FALSE	388699	0.058324698525234	0.689230317347543	6069	36	0.0249175550897624	7437	11286000	66
20221030 182459	528	1278615	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	430	1	1	1	0.1	50	0.5	FALSE	388699	0.0330969582614221	0.494746740497509	7155	1521	0.0281370286988324	6263	11714000	67
20221030 184757	528	1278615	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1282	1	1	1	0.1	50	0.5	FALSE	388699	0.0270854807419801	0.591272817992559	8000	1443	0.0186662368002812	6672	11696000	68
20221030 190242	528	1278615	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	735	1	1	1	0.1	50	0.5	FALSE	388699	0.03693533351137	0.503836683007328	7994	1234	0.022113094009459	6768	11744000	69
20221030 195743	528	1278615	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	3932	1	1	1	0.1	50	0.5	FALSE	388699	0.00512305275667496	0.725879088640539	6182	1551	0.0270653246759976	5886	12388000	70
20221030 203521	528	1278615	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2641	1	1	1	0.1	50	0.5	FALSE	388699	0.00632753841254618	0.657067432719585	6839	377	0.0304429071636396	6076	12568000	71
20221030 204929	528	1278615	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	551	1	1	1	0.1	50	0.5	FALSE	388699	0.0164339155121278	0.591402296158567	7990	542	0.0280022760690937	6867	11786000	72
20221030 205750	528	1278615	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	376	1	1	1	0.1	50	0.5	FALSE	388699	0.0425832817419225	0.603058125886601	7996	840	0.0321612693583292	5876	12568000	73
20221030 222212	528	1278615	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	6471	1	1	1	0.1	50	0.5	FALSE	388699	0.00736048243162845	0.74312367380287	5171	419	0.00404923473008298	8157	10646000	74
20221030 222924	528	1278615	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	355	1	1	1	0.1	50	0.5	FALSE	388699	0.0335304521576876	0.68774130059382	7994	1259	0.030441993678979	6177	11886000	75
20221030 223658	528	1278615	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	231	1	1	1	0.1	50	0.5	FALSE	388699	0.0429767457656679	0.537783602235489	8000	1444	0.0284106198164851	6280	12560000	76
20221030 224754	528	1278615	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	479	1	1	1	0.1	50	0.5	FALSE	388699	0.0538064079510925	0.585110184007069	7997	1055	0.0239829209696812	5941	12118000	77
20221030 225430	528	1278615	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	363	1	1	1	0.1	50	0.5	FALSE	388699	0.0702166612872131	0.699703048994672	7994	1796	0.0236676551549898	6111	12178000	78
