fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	estimulos	ganancia	iteracion_bayesiana
20221029 214513	528	452013	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	3979	1	1	1	0.1	50	0.5	FALSE	388699	0.00508307468374919	0.36066837325122	7173	888	0.0270925966976884	6409	17822000	34
20221029 215753	528	452013	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2384	1	1	1	0.1	50	0.5	FALSE	388699	0.00559022868138699	0.811695420868164	7534	960	0.0228560817152158	7539	16442000	35
20221029 221540	528	452013	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2127	1	1	1	0.1	50	0.5	FALSE	388699	0.00533043268310381	0.58702470013093	7013	855	0.0244071615681974	7114	17132000	36
20221029 222456	528	452013	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1801	1	1	1	0.1	50	0.5	FALSE	388699	0.011288366280906	0.808408457956285	7217	934	0.0273700961039235	6280	17680000	37
20221029 222751	528	452013	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	401	1	1	1	0.1	50	0.5	FALSE	388699	0.0282209884537473	0.225508302889023	7141	900	0.0223593993074377	7895	16530000	38
20221029 223132	528	452013	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	539	1	1	1	0.1	50	0.5	FALSE	388699	0.0241761808978001	0.811099718632237	6933	1304	0.0251980646684111	7079	17362000	39
20221029 223931	528	452013	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1143	1	1	1	0.1	50	0.5	FALSE	388699	0.00910322925950446	0.332960696543181	7920	115	0.026402611535864	6733	17814000	40
20221029 224555	528	452013	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	723	1	1	1	0.1	50	0.5	FALSE	388699	0.0155581227504553	0.59232148930909	7864	572	0.025181605190012	6975	17330000	41
20221029 225741	528	452013	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2150	1	1	1	0.1	50	0.5	FALSE	388699	0.00513707516962985	0.659002741216673	7999	48	0.0223431823659087	7596	16808000	42
20221029 230607	528	452013	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1545	1	1	1	0.1	50	0.5	FALSE	388699	0.0088379186060157	0.948973230504159	7921	620	0.0232420916202097	7318	17044000	43
20221029 231117	528	452013	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	871	1	1	1	0.1	50	0.5	FALSE	388699	0.0167624841084133	0.24193294137305	7875	420	0.0267464330361954	6801	17838000	44
20221029 231402	528	452013	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	199	1	1	1	0.1	50	0.5	FALSE	388699	0.0471194910523006	0.501676964109298	6856	1237	0.0265190326024964	6731	17338000	45
20221029 233438	528	452013	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	3802	1	1	1	0.1	50	0.5	FALSE	388699	0.00504625466727338	0.241732537787287	7822	540	0.0281896383421967	6343	18034000	46
20221029 234858	528	452013	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2755	1	1	1	0.1	50	0.5	FALSE	388699	0.00510334124843206	0.220464730633456	7883	540	0.02795837879877	6467	17946000	47
20221030 000212	528	452013	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2625	1	1	1	0.1	50	0.5	FALSE	388699	0.00833540804240133	0.242597797419699	7742	560	0.0273411420261168	6447	17666000	48
20221030 000502	528	452013	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	245	1	1	1	0.1	50	0.5	FALSE	388699	0.0379079677468166	0.398134182264459	6935	2045	0.0251987938833957	7146	17228000	49
20221030 000811	528	452013	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	444	1	1	1	0.1	50	0.5	FALSE	388699	0.0211159771565704	0.200569467270032	6853	1350	0.0276058714879626	6784	17392000	50
20221030 001215	528	452013	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	550	1	1	1	0.1	50	0.5	FALSE	388699	0.0207679270972275	0.293540408645635	7806	59	0.026269674740548	6879	17762000	51
20221030 001405	528	452013	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	103	1	1	1	0.1	50	0.5	FALSE	388699	0.0678590406202387	0.394769893908383	6002	949	0.0251036671514827	7271	17458000	52
20221030 001639	528	452013	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	222	1	1	1	0.1	50	0.5	FALSE	388699	0.0365474405184838	0.31907354886774	5921	1573	0.0257962864206964	7349	16662000	53
20221030 001823	528	452013	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	132	1	1	1	0.1	50	0.5	FALSE	388699	0.0925630758745245	0.321930745788731	6127	647	0.0346707706257649	6390	16820000	54
20221030 002058	528	452013	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	334	1	1	1	0.1	50	0.5	FALSE	388699	0.0501415304721172	0.689874559121124	6008	62	0.0196654254194689	8072	16176000	55
20221030 002940	528	452013	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1294	1	1	1	0.1	50	0.5	FALSE	388699	0.00601935910202086	0.616157934706761	7176	752	0.0250403462110861	6997	17366000	56
20221030 004628	528	452013	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2389	1	1	1	0.1	50	0.5	FALSE	388699	0.00504635263974728	0.395021114585284	7210	1338	0.0247147965306729	7138	17404000	57
20221030 010123	528	452013	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2304	1	1	1	0.1	50	0.5	FALSE	388699	0.00526664529558464	0.337973289700714	7844	637	0.0251447209036306	6989	17462000	58
20221030 010534	528	452013	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	407	1	1	1	0.1	50	0.5	FALSE	388699	0.0165024732254943	0.349929060454763	6946	1014	0.0207291282010445	8562	16076000	59
20221030 010732	528	452013	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	221	1	1	1	0.1	50	0.5	FALSE	388699	0.0469597034353645	0.20144375753449	6838	1565	0.0228846851573642	8032	15856000	60
20221030 011104	528	452013	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	405	1	1	1	0.1	50	0.5	FALSE	388699	0.0381263816479436	0.612910474582808	6983	1152	0.0255286131350672	6861	17558000	61
20221030 011524	528	452013	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	696	1	1	1	0.1	50	0.5	FALSE	388699	0.0235223550285486	0.761083769564696	7164	1144	0.0243974598101169	7033	17134000	62
20221030 011835	528	452013	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	229	1	1	1	0.1	50	0.5	FALSE	388699	0.0339102128402334	0.52852858428641	6855	975	0.0234733477186437	7344	17152000	63
20221030 012848	528	452013	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2020	1	1	1	0.1	50	0.5	FALSE	388699	0.00853249485927081	0.220158945804191	7830	284	0.0274159397309272	6517	17766000	64
20221030 014057	528	452013	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2084	1	1	1	0.1	50	0.5	FALSE	388699	0.00520428507314523	0.874459744705681	7217	605	0.0267796840710994	6657	17486000	65
20221030 014502	528	452013	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	585	1	1	1	0.1	50	0.5	FALSE	388699	0.0184481621052414	0.296475319302476	7968	18	0.0244462684730514	7251	17418000	66
20221030 014813	528	452013	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	421	1	1	1	0.1	50	0.5	FALSE	388699	0.0304533728578474	0.256684945757035	7802	799	0.0293839981216748	6444	17912000	67
20221030 015824	528	452013	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1973	1	1	1	0.1	50	0.5	FALSE	388699	0.0100133088826858	0.751513681452324	7056	823	0.0233775483397469	7052	17096000	68
20221030 020102	528	452013	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	289	1	1	1	0.1	50	0.5	FALSE	388699	0.0385300104220253	0.280249205091551	7824	183	0.0253595161208029	7031	17218000	69
20221030 022536	528	452013	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	3509	1	1	1	0.1	50	0.5	FALSE	388699	0.00505654046054027	0.389591579713137	7179	59	0.0296020955295558	6064	18112000	70
20221030 023931	528	452013	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1738	1	1	1	0.1	50	0.5	FALSE	388699	0.00514575975263847	0.43762163338553	7158	329	0.0243229435303098	7251	17418000	71
